Promedio_Parcial,Asistencia,Horas_Estudio,Accesos_Moodle,Tareas,Calificacion_Final,Resultado
92,81,6.2,40,9,90,Aprueba
56,100,12.4,30,7,78,Aprueba
57,78,3.4,23,7,67,Reprueba
52,83,6.4,35,7,73,Aprueba
87,85,9.3,33,10,96,Aprueba
71,83,10.7,34,9,84,Aprueba
52,62,3.1,17,2,54,Reprueba
72,76,8.8,36,9,77,Aprueba
93,89,14.9,41,8,95,Aprueba
76,71,8.7,22,6,71,Aprueba
76,100,11.1,45,10,99,Aprueba
75,99,11.2,45,8,87,Aprueba
80,100,8.1,49,10,93,Aprueba
56,84,4.7,29,8,71,Aprueba
72,94,7.4,45,10,81,Aprueba
57,85,9.2,31,10,81,Aprueba
51,75,0.3,0,0,46,Reprueba
60,72,1.7,39,7,76,Aprueba
31,47,0.0,11,3,35,Reprueba
50,87,4.5,12,3,69,Reprueba
72,93,9.5,36,7,84,Aprueba
68,88,10.2,39,8,88,Aprueba
34,67,2.7,14,5,47,Reprueba
68,100,9.2,31,9,91,Aprueba
61,84,5.6,27,7,53,Reprueba
77,80,8.5,36,10,79,Aprueba
63,64,2.6,23,7,69,Reprueba
41,68,1.6,6,1,47,Reprueba
80,87,9.5,29,7,85,Aprueba
100,100,12.0,55,10,100,Aprueba
77,97,10.6,48,7,88,Aprueba
80,86,11.8,45,10,94,Aprueba
73,91,8.4,41,7,83,Aprueba
85,87,12.0,46,10,87,Aprueba
99,100,14.6,37,10,100,Aprueba
47,63,4.3,0,7,61,Reprueba
37,81,0.0,26,5,52,Reprueba
79,78,7.1,29,7,82,Aprueba
76,80,7.2,35,9,85,Aprueba
55,79,2.9,18,7,62,Reprueba
43,65,4.4,13,4,57,Reprueba
62,72,7.8,24,7,69,Reprueba
100,89,13.6,48,10,100,Aprueba
37,64,0.0,4,4,52,Reprueba
59,70,8.2,32,10,76,Aprueba
62,71,6.9,15,7,60,Reprueba
73,67,4.7,32,5,63,Reprueba
75,90,9.5,29,8,78,Aprueba
80,100,7.7,38,7,88,Aprueba
65,100,11.2,28,9,87,Aprueba
63,80,2.6,8,4,62,Reprueba
74,83,0.0,14,7,67,Reprueba
51,57,0.0,0,3,47,Reprueba
91,99,10.7,45,9,100,Aprueba
88,93,12.4,25,10,99,Aprueba
81,91,13.6,28,10,100,Aprueba
65,82,6.5,37,10,81,Aprueba
100,100,12.0,53,10,90,Aprueba
45,84,3.0,21,4,58,Reprueba
47,78,6.1,2,6,55,Reprueba
24,38,0.0,0,0,15,Reprueba
73,99,8.4,38,8,87,Aprueba
23,51,0.0,0,2,36,Reprueba
51,79,2.0,35,8,69,Reprueba
